#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
1887,Patreon,San Francisco Bay Area,USA,North America,80,2022-09-13 00:00:00 UTC,17,471,391,Media,Series F,$413,2022,37.77493,-122.41942
1892,Compete,Tel Aviv,Israel,Asia,11,2022-09-12 00:00:00 UTC,28,39,28,HR,Series A,$17,2022,32.08088,34.78057
1906,Pomelo Fashion,Bangkok,Thailand,Asia,55,2022-09-08 00:00:00 UTC,8,688,633,Retail,Unknown,$120,2022,13.75398,100.50144
1910,Simple Feast,Copenhagen,Denmark,Europe,150,2022-09-07 00:00:00 UTC,100,150,0,Food,Unknown,$173,2022,55.67594,12.56553
1914,Intercom,San Francisco Bay Area,USA,North America,49,2022-09-07 00:00:00 UTC,5,980,931,Support,Series D,$240,2022,37.77493,-122.41942
1915,Pendo,Raleigh,USA,North America,45,2022-09-07 00:00:00 UTC,5,900,855,Product,Series F,$469,2022,35.7721,-78.63861
1916,Demandbase,San Francisco Bay Area,USA,North America,27,2022-09-07 00:00:00 UTC,3,900,873,Sales,Series H,$143,2022,37.77493,-122.41942
1920,Brave Care,Portland,USA,North America,40,2022-09-06 00:00:00 UTC,33,121,81,Healthcare,Series B,$42,2022,45.52345,-122.67621
1921,Lawgeex,Tel Aviv,Israel,Asia,30,2022-09-06 00:00:00 UTC,33,91,61,Legal,Series C,$41,2022,32.08088,34.78057
1924,Kuda,Lagos,Nigeria,Africa,23,2022-09-02 00:00:00 UTC,5,460,437,Finance,Series B,$91,2022,6.45407,3.39467
1927,2TM,Sao Paulo,Brazil,South America,100,2022-09-01 00:00:00 UTC,15,667,567,Crypto,Unknown,$250,2022,-23.5475,-46.63611
1928,Innovaccer,San Francisco Bay Area,USA,North America,90,2022-09-01 00:00:00 UTC,8,1125,1035,Healthcare,Series E,$379,2022,37.77493,-122.41942
1930,Urban Sports Club,Berlin,Germany,Europe,55,2022-09-01 00:00:00 UTC,15,367,312,Fitness,Unknown,$95,2022,52.52437,13.41053
1932,Snap,Los Angeles,USA,North America,1280,2022-08-31 00:00:00 UTC,20,6400,5120,Consumer,Post-IPO,$4900,2022,34.05223,-118.24368
1933,GoodRx,Los Angeles,USA,North America,140,2022-08-31 00:00:00 UTC,16,875,735,Healthcare,Post-IPO,$910,2022,34.05223,-118.24368
1934,Smava,Berlin,Germany,Europe,100,2022-08-31 00:00:00 UTC,10,1000,900,Finance,Unknown,$188,2022,52.52437,13.41053
1935,Hippo Insurance,San Francisco Bay Area,USA,North America,70,2022-08-31 00:00:00 UTC,10,700,630,Finance,Post-IPO,$1300,2022,37.44188,-122.14302
1938,TCR2,Boston,USA,North America,30,2022-08-31 00:00:00 UTC,20,150,120,Healthcare,Post-IPO,$173,2022,42.35843,-71.05977
1939,Apartment List,San Francisco Bay Area,USA,North America,29,2022-08-31 00:00:00 UTC,10,290,261,Real Estate,Series D,$169,2022,37.77493,-122.41942
1945,Immersive Labs,Bristol,United Kingdom,Europe,38,2022-08-30 00:00:00 UTC,10,380,342,Security,Series C,$123,2022,51.45523,-2.59665
1948,54gene,Washington DC,USA,North America,95,2022-08-29 00:00:00 UTC,30,317,222,Healthcare,Series B,$44,2022,38.89511,-77.03637
1954,Argyle,New York City,USA,North America,20,2022-08-26 00:00:00 UTC,7,286,266,Finance,Series B,$78,2022,40.71427,-74.00597
1960,Reali,San Francisco Bay Area,USA,North America,140,2022-08-24 00:00:00 UTC,100,140,0,Real Estate,Series B,$117,2022,37.77493,-122.41942
1961,Loop,Washington DC,USA,North America,15,2022-08-24 00:00:00 UTC,20,75,60,Finance,Series A,$24,2022,38.89511,-77.03637
1963,Tier Mobility,Berlin,Germany,Europe,180,2022-08-23 00:00:00 UTC,16,1125,945,Transportation,Series D,$646,2022,52.52437,13.41053
1964,Packable,New York City,USA,North America,138,2022-08-23 00:00:00 UTC,20,690,552,Retail,Unknown,$472,2022,40.71427,-74.00597
1965,Q4,Toronto,Canada,North America,50,2022-08-23 00:00:00 UTC,8,625,575,Other,Series C,$91,2022,43.70643,-79.39864
1966,Skedulo,San Francisco Bay Area,USA,North America,31,2022-08-23 00:00:00 UTC,8,388,357,HR,Series C,$114,2022,37.77493,-122.41942
1967,Plato,San Francisco Bay Area,USA,North America,29,2022-08-23 00:00:00 UTC,50,58,29,HR,Seed,$3,2022,37.77493,-122.41942
1968,DataRobot,Boston,USA,North America,242,2022-08-23 00:00:00 UTC,26,930,688,Data,Series G,$1000,2022,42.35843,-71.05977
1973,NSO,Tel Aviv,Israel,Asia,100,2022-08-21 00:00:00 UTC,14,714,614,Security,Seed,$1,2022,32.08088,34.78057
1974,Tufin,Boston,USA,North America,55,2022-08-21 00:00:00 UTC,10,550,495,Security,Acquired,$21,2022,42.35843,-71.05977
1975,Amperity,Seattle,USA,North America,13,2022-08-20 00:00:00 UTC,3,433,420,Marketing,Series D,$187,2022,47.60621,-122.33207
1976,Wayfair,Boston,USA,North America,870,2022-08-19 00:00:00 UTC,5,17400,16530,Retail,Post-IPO,1700,2022,42.35843,-71.05977
1979,New Relic,San Francisco Bay Area,USA,North America,110,2022-08-18 00:00:00 UTC,5,2200,2090,Infrastructure,Post-IPO,$214,2022,37.77493,-122.41942
1980,Wheel,Austin,USA,North America,35,2022-08-18 00:00:00 UTC,17,206,171,Healthcare,Series C,$215,2022,30.26715,-97.74306
1984,Malwarebytes,San Francisco Bay Area,USA,North America,125,2022-08-17 00:00:00 UTC,14,893,768,Security,Series B,$80,2022,37.35411,-121.95524
1990,AlayaCare,Montreal,Canada,North America,80,2022-08-16 00:00:00 UTC,14,571,491,Healthcare,Series D,$293,2022,45.50884,-73.58781
1991,Pliops,Tel Aviv,Israel,Asia,12,2022-08-16 00:00:00 UTC,9,133,121,Data,Series D,$205,2022,32.08088,34.78057
1992,Woven,Indianapolis,USA,North America,5,2022-08-16 00:00:00 UTC,15,33,28,HR,Series A,$11,2022,39.76838,-86.15804
1997,Sema4,Stamford,USA,North America,250,2022-08-15 00:00:00 UTC,13,1923,1673,Healthcare,Post-IPO,$791,2022,41.05343,-73.53873
1998,Blend,San Francisco Bay Area,USA,North America,220,2022-08-15 00:00:00 UTC,12,1833,1613,Finance,Post-IPO,$665,2022,37.77493,-122.41942
1999,ContraFect,New York City,USA,North America,16,2022-08-15 00:00:00 UTC,37,43,27,Healthcare,Post-IPO,$380,2022,40.71427,-74.00597
2003,Peloton,New York City,USA,North America,784,2022-08-12 00:00:00 UTC,13,6031,5247,Fitness,Post-IPO,$1900,2022,40.71427,-74.00597
2006,Truepill,San Francisco Bay Area,USA,North America,175,2022-08-11 00:00:00 UTC,33,530,355,Healthcare,Series D,$255,2022,37.66882,-122.0808
2007,Calm,San Francisco Bay Area,USA,North America,90,2022-08-11 00:00:00 UTC,20,450,360,Healthcare,Series C,$218,2022,37.77493,-122.41942
2008,FourKites,Chicago,USA,North America,60,2022-08-11 00:00:00 UTC,8,750,690,Logistics,Series D,$201,2022,41.85003,-87.65005
2009,Marketforce,Nairobi,Kenya,Africa,54,2022-08-11 00:00:00 UTC,9,600,546,Retail,Series A,$42,2022,-1.28333,36.81667
2013,Trybe,Sao Paulo,Brazil,South America,47,2022-08-10 00:00:00 UTC,10,470,423,Education,Series B,$40,2022,-23.5475,-46.63611
2014,Permutive,London,United Kingdom,Europe,30,2022-08-10 00:00:00 UTC,12,250,220,Marketing,Series C,$105,2022,51.50853,-0.12574
2018,GoHealth,Chicago,USA,North America,800,2022-08-09 00:00:00 UTC,20,4000,3200,Healthcare,Post-IPO,$75,2022,41.85003,-87.65005
2019,Hootsuite,Vancouver,Canada,North America,400,2022-08-09 00:00:00 UTC,30,1333,933,Marketing,Series C,$300,2022,49.24966,-123.11934
2020,Nutanix,San Francisco Bay Area,USA,North America,270,2022-08-09 00:00:00 UTC,4,6750,6480,Infrastructure,Post-IPO,$1100,2022,37.33939,-121.89496
2021,Quanterix,Boston,USA,North America,130,2022-08-09 00:00:00 UTC,25,520,390,Healthcare,Post-IPO,$533,2022,42.35843,-71.05977
2023,MadeiraMadeira,Curitiba,Brazil,South America,60,2022-08-09 00:00:00 UTC,3,2000,1940,Retail,Series E,$338,2022,-25.42778,-49.27306
2025,Linktree,Melbourne,Australia,Australia,50,2022-08-09 00:00:00 UTC,17,294,244,Consumer,Unknown,$165,2022,-37.814,144.96332
2026,Shogun,San Francisco Bay Area,USA,North America,48,2022-08-09 00:00:00 UTC,30,160,112,Retail,Series C,$114,2022,37.5841,-122.36608
2035,Groupon,Chicago,USA,North America,500,2022-08-08 00:00:00 UTC,15,3333,2833,Retail,Post-IPO,1400,2022,41.85003,-87.65005
2036,Loggi,Sao Paulo,Brazil,South America,500,2022-08-08 00:00:00 UTC,15,3333,2833,Logistics,Series F,$507,2022,-23.5475,-46.63611
2040,Perion,Tel Aviv,Israel,Asia,20,2022-08-08 00:00:00 UTC,5,400,380,Marketing,Post-IPO,$76,2022,32.08088,34.78057
2043,iRobot,Boston,USA,North America,140,2022-08-05 00:00:00 UTC,10,1400,1260,Consumer,Acquired,$30,2022,42.35843,-71.05977
2044,Mejuri,Toronto,Canada,North America,50,2022-08-05 00:00:00 UTC,10,500,450,Retail,Series B,$28,2022,43.70643,-79.39864
2045,Uberflip,Toronto,Canada,North America,31,2022-08-05 00:00:00 UTC,17,182,151,Marketing,Series A,$42,2022,43.70643,-79.39864
2048,Doma,San Francisco Bay Area,USA,North America,250,2022-08-04 00:00:00 UTC,13,1923,1673,Finance,Post-IPO,$679,2022,37.77493,-122.41942
2050,Jam City,Los Angeles,USA,North America,200,2022-08-04 00:00:00 UTC,17,1176,976,Consumer,Unknown,$652,2022,34.05223,-118.24368
2051,10X Genomics,San Francisco Bay Area,USA,North America,100,2022-08-04 00:00:00 UTC,8,1250,1150,Healthcare,Post-IPO,$242,2022,37.66243,-121.87468
2052,LEAD,Mumbai,India,Asia,80,2022-08-04 00:00:00 UTC,4,2000,1920,Education,Series E,$166,2022,19.07283,72.88261
2054,On Deck,San Francisco Bay Area,USA,North America,73,2022-08-04 00:00:00 UTC,33,221,148,Education,Series A,$20,2022,37.77493,-122.41942
2055,RenoRun,Montreal,Canada,North America,70,2022-08-04 00:00:00 UTC,12,583,513,Construction,Series B,$163,2022,45.50884,-73.58781
2063,Unbounce,Vancouver,Canada,North America,47,2022-08-03 00:00:00 UTC,20,235,188,Marketing,Series A,$39,2022,49.24966,-123.11934
2064,Beyond Meat,Los Angeles,USA,North America,40,2022-08-03 00:00:00 UTC,4,1000,960,Food,Post-IPO,$122,2022,34.05223,-118.24368
2070,Robinhood,San Francisco Bay Area,USA,North America,713,2022-08-02 00:00:00 UTC,23,3100,2387,Finance,Post-IPO,$5600,2022,37.45383,-122.18219
2071,Latch,New York City,USA,North America,115,2022-08-02 00:00:00 UTC,37,311,196,Security,Post-IPO,$342,2022,40.71427,-74.00597
2074,Nylas,San Francisco Bay Area,USA,North America,80,2022-08-02 00:00:00 UTC,25,320,240,Product,Series C,$175,2022,37.77493,-122.41942
2075,Outreach,Seattle,USA,North America,60,2022-08-02 00:00:00 UTC,5,1200,1140,Sales,Series G,$489,2022,47.60621,-122.33207
2076,Sendy,Nairobi,Kenya,Africa,54,2022-08-02 00:00:00 UTC,20,270,216,Logistics,Series B,$26,2022,-1.28333,36.81667
2078,Sendy,Nairobi,Kenya,Africa,30,2022-08-02 00:00:00 UTC,10,300,270,Logistics,Series B,$26,2022,-1.28333,36.81667
2079,Stedi,Boulder,USA,North America,23,2022-08-02 00:00:00 UTC,30,77,54,Product,Series B,$75,2022,40.01499,-105.27055
2080,Glossier,New York City,USA,North America,19,2022-08-02 00:00:00 UTC,8,238,219,Retail,Series E,$266,2022,40.71427,-74.00597
2083,Hash,Sao Paulo,Brazil,South America,58,2022-08-01 00:00:00 UTC,50,116,58,Finance,Series C,$58,2022,-23.5475,-46.63611
2090,Metigy,Sydney,Australia,Australia,75,2022-07-31 00:00:00 UTC,100,75,0,Marketing,Series B,$18,2022,-33.86785,151.20732
2091,Vee,Tel Aviv,Israel,Asia,16,2022-07-31 00:00:00 UTC,32,50,34,HR,Seed,$15,2022,32.08088,34.78057
2094,Clearco,Toronto,Canada,North America,125,2022-07-29 00:00:00 UTC,25,500,375,Finance,Series C,$681,2022,43.70643,-79.39864
2097,Quantcast,San Francisco Bay Area,USA,North America,40,2022-07-29 00:00:00 UTC,6,667,627,Marketing,Series C,$65,2022,37.77493,-122.41942
2103,Career Karma,San Francisco Bay Area,USA,North America,60,2022-07-28 00:00:00 UTC,33,182,122,Education,Series B,$51,2022,37.77493,-122.41942
2104,Metromile,San Francisco Bay Area,USA,North America,60,2022-07-28 00:00:00 UTC,20,300,240,Finance,Acquired,$510,2022,37.77493,-122.41942
2114,Rivian,Detroit,USA,North America,840,2022-07-27 00:00:00 UTC,6,14000,13160,Transportation,Post-IPO,$10700,2022,42.33143,-83.04575
2115,Vox Media,Washington DC,USA,North America,39,2022-07-27 00:00:00 UTC,2,1950,1911,Media,Series F,$307,2022,38.89511,-77.03637
2116,Coinsquare,Toronto,Canada,North America,30,2022-07-27 00:00:00 UTC,24,125,95,Crypto,Unknown,$98,2022,43.70643,-79.39864
2117,Skai,Tel Aviv,Israel,Asia,30,2022-07-27 00:00:00 UTC,4,750,720,Marketing,Series E,$60,2022,32.08088,34.78057
2118,Shopify,Ottawa,Canada,North America,1000,2022-07-26 00:00:00 UTC,10,10000,9000,Retail,Post-IPO,$122,2022,45.41117,-75.69812
2120,Fiverr,Tel Aviv,Israel,Asia,60,2022-07-26 00:00:00 UTC,8,750,690,Other,Post-IPO,$111,2022,32.08088,34.78057
2121,InDebted,Sydney,Australia,Australia,40,2022-07-26 00:00:00 UTC,17,235,195,Finance,Series B,$41,2022,-33.86785,151.20732
2122,Outbrain,New York City,USA,North America,38,2022-07-26 00:00:00 UTC,3,1267,1229,Marketing,Post-IPO,$394,2022,40.71427,-74.00597
2123,Dover,San Francisco Bay Area,USA,North America,23,2022-07-26 00:00:00 UTC,30,77,54,Recruiting,Series A,$22,2022,37.33939,-121.89496
2124,Immutable,Sydney,Australia,Australia,20,2022-07-26 00:00:00 UTC,6,333,313,Crypto,Series C,$279,2022,-33.86785,151.20732
2126,Pear Therapeutics,Boston,USA,North America,25,2022-07-25 00:00:00 UTC,9,278,253,Healthcare,Post-IPO,$409,2022,42.35843,-71.05977
2128,Soluto,Tel Aviv,Israel,Asia,120,2022-07-24 00:00:00 UTC,100,120,0,Support,Acquired,$18,2022,32.08088,34.78057
2129,Eucalyptus,Sydney,Australia,Australia,50,2022-07-22 00:00:00 UTC,20,250,200,Healthcare,Series C,$69,2022,-33.86785,151.20732
2131,Quanto,Sao Paulo,Brazil,South America,28,2022-07-22 00:00:00 UTC,22,127,99,Finance,Series A,$15,2022,-23.5475,-46.63611
2132,Clarify Health,San Francisco Bay Area,USA,North America,15,2022-07-22 00:00:00 UTC,5,300,285,Healthcare,Series D,$328,2022,37.77493,-122.41942
2138,Blockchain.com,London,United Kingdom,Europe,150,2022-07-21 00:00:00 UTC,25,600,450,Crypto,Series D,$490,2022,51.50853,-0.12574
2141,WHOOP,Boston,USA,North America,95,2022-07-21 00:00:00 UTC,15,633,538,Fitness,Series F,$404,2022,42.35843,-71.05977
2142,Rad Power Bikes,Seattle,USA,North America,63,2022-07-21 00:00:00 UTC,10,630,567,Transportation,Series D,$329,2022,47.60621,-122.33207
2143,Lunchbox,New York City,USA,North America,60,2022-07-21 00:00:00 UTC,33,182,122,Food,Series B,$72,2022,40.71427,-74.00597
2144,RealSelf,Seattle,USA,North America,11,2022-07-21 00:00:00 UTC,5,220,209,Healthcare,Series B,$42,2022,47.60621,-122.33207
2151,Flyhomes,Seattle,USA,North America,200,2022-07-20 00:00:00 UTC,20,1000,800,Real Estate,Series C,$310,2022,47.60621,-122.33207
2154,Lyft,San Francisco Bay Area,USA,North America,60,2022-07-20 00:00:00 UTC,2,3000,2940,Transportation,Post-IPO,$4900,2022,37.77493,-122.41942
2155,Introhive,Ferdericton,Canada,North America,57,2022-07-20 00:00:00 UTC,16,356,299,Sales,Series C,$125,2022,45.9636,-66.6431
2156,Zencity,Tel Aviv,Israel,Asia,30,2022-07-20 00:00:00 UTC,20,150,120,Other,Unknown,$51,2022,32.08088,34.78057
2158,Forma.ai,Toronto,Canada,North America,15,2022-07-20 00:00:00 UTC,9,167,152,Sales,Series B,$58,2022,43.70643,-79.39864
2161,Olive,Columbus,USA,North America,450,2022-07-19 00:00:00 UTC,31,1452,1002,Healthcare,Series H,$856,2022,39.96118,-82.99879
2167,Gemini,New York City,USA,North America,68,2022-07-18 00:00:00 UTC,7,971,903,Crypto,Unknown,$423,2022,40.71427,-74.00597
2168,Lusha,New York City,USA,North America,30,2022-07-18 00:00:00 UTC,10,300,270,Marketing,Series B,$245,2022,40.71427,-74.00597
2174,Bright Money,Bengaluru,India,Asia,100,2022-07-15 00:00:00 UTC,50,200,100,Finance,Series A,$31,2022,12.97194,77.59369
2175,Project44,Chicago,USA,North America,63,2022-07-15 00:00:00 UTC,5,1260,1197,Logistics,Unknown,$817,2022,41.85003,-87.65005
2176,Heroes,London,United Kingdom,Europe,24,2022-07-15 00:00:00 UTC,20,120,96,Retail,Unknown,$265,2022,51.50853,-0.12574
2179,Zego,London,United Kingdom,Europe,85,2022-07-14 00:00:00 UTC,17,500,415,Finance,Series C,$202,2022,51.50853,-0.12574
2180,The Mom Project,Chicago,USA,North America,54,2022-07-14 00:00:00 UTC,15,360,306,HR,Series C,$115,2022,41.85003,-87.65005
2181,Unstoppable Do.,San Francisco Bay Area,USA,North America,42,2022-07-14 00:00:00 UTC,25,168,126,Crypto,Series B,$7,2022,37.77493,-122.41942
2182,Kiavi,San Francisco Bay Area,USA,North America,39,2022-07-14 00:00:00 UTC,7,557,518,Real Estate,Series E,$240,2022,37.77493,-122.41942
2186,Wave,Dakar,Senegal,Africa,300,2022-07-13 00:00:00 UTC,15,2000,1700,Finance,Series A,$292,2022,14.6937,-17.44406
2187,Tonal,San Francisco Bay Area,USA,North America,262,2022-07-13 00:00:00 UTC,35,749,487,Fitness,Series E,$450,2022,37.77493,-122.41942
2188,Fabric,New York City,USA,North America,120,2022-07-13 00:00:00 UTC,40,300,180,Logistics,Series C,$336,2022,40.71427,-74.00597
2189,Bryter,Berlin,Germany,Europe,100,2022-07-13 00:00:00 UTC,30,333,233,Product,Series B,$89,2022,52.52437,13.41053
2190,ChowNow,Los Angeles,USA,North America,100,2022-07-13 00:00:00 UTC,20,500,400,Food,Series C,$64,2022,34.05223,-118.24368
2191,Involves,Florianopolis,Brazil,South America,70,2022-07-13 00:00:00 UTC,18,389,319,Retail,Unknown,$23,2022,-27.59667,-48.54917
2194,Arrival,London,United Kingdom,Europe,480,2022-07-13 00:00:00 UTC,30,2080,1600,Transportation,Post-IPO,$629,2022,51.50853,-0.12574
2197,Gopuff,Philadelphia,USA,North America,1500,2022-07-12 00:00:00 UTC,10,15000,13500,Food,Series H,$3400,2022,39.95238,-75.16362
2200,Hubilo,San Francisco Bay Area,USA,North America,45,2022-07-12 00:00:00 UTC,12,375,330,Marketing,Series B,$153,2022,37.77493,-122.41942
2204,Hopin,London,United Kingdom,Europe,242,2022-07-11 00:00:00 UTC,29,834,592,Other,Series D,$1000,2022,51.50853,-0.12574
2206,SundaySky,New York City,USA,North America,24,2022-07-11 00:00:00 UTC,13,185,161,Marketing,Series D,$74,2022,40.71427,-74.00597
2212,Butler Hospitality,New York City,USA,North America,1000,2022-07-08 00:00:00 UTC,100,1000,0,Food,Series B,$50,2022,40.71427,-74.00597
2213,Calibrate,New York City,USA,North America,156,2022-07-08 00:00:00 UTC,24,650,494,Healthcare,Series B,$127,2022,40.71427,-74.00597
2215,Argo AI,Pittsburgh,USA,North America,150,2022-07-07 00:00:00 UTC,5,3000,2850,Transportation,Unknown,3600,2022,40.44062,-79.99589
2216,Next Insurance,San Francisco Bay Area,USA,North America,150,2022-07-07 00:00:00 UTC,17,882,732,Finance,Series E,$881,2022,37.44188,-122.14302
2218,Emotive,Los Angeles,USA,North America,30,2022-07-07 00:00:00 UTC,18,167,137,Marketing,Series B,$78,2022,34.05223,-118.24368
2221,Remote,San Francisco Bay Area,USA,North America,100,2022-07-06 00:00:00 UTC,9,1111,1011,HR,Series C,$496,2022,37.77493,-122.41942
2223,Anodot,Tel Aviv,Israel,Asia,35,2022-07-06 00:00:00 UTC,27,130,95,Data,Series C,$64,2022,32.08088,34.78057
2224,SQream,New York City,USA,North America,30,2022-07-06 00:00:00 UTC,18,167,137,Data,Series B,$77,2022,40.71427,-74.00597
2225,Anodot,Tel Aviv,Israel,Asia,15,2022-07-06 00:00:00 UTC,20,75,60,Data,Series C,$64,2022,32.08088,34.78057
2227,Loft,Sao Paulo,Brazil,South America,384,2022-07-05 00:00:00 UTC,12,3200,2816,Real Estate,Unknown,$788,2022,-23.5475,-46.63611
2228,Bizzabo,New York City,USA,North America,120,2022-07-05 00:00:00 UTC,30,400,280,Marketing,Series E,$194,2022,40.71427,-74.00597
2229,eToro,Tel Aviv,Israel,Asia,100,2022-07-05 00:00:00 UTC,6,1667,1567,Finance,Unknown,$322,2022,32.08088,34.78057
2230,Verbit,New York City,USA,North America,80,2022-07-05 00:00:00 UTC,10,800,720,Data,Series E,$569,2022,40.71427,-74.00597
2231,Outschool,San Francisco Bay Area,USA,North America,31,2022-07-05 00:00:00 UTC,18,172,141,Education,Series D,$240,2022,37.77493,-122.41942
2232,Bullish,Hong Kong,Hong Kong,Asia,30,2022-07-05 00:00:00 UTC,8,375,345,Crypto,Unknown,$300,2022,22.27832,114.17469
2233,Transmit Security,Boston,USA,North America,27,2022-07-05 00:00:00 UTC,7,386,359,Security,Series A,$583,2022,42.35843,-71.05977
2234,Thimble,New York City,USA,North America,20,2022-07-05 00:00:00 UTC,33,61,41,Finance,Series A,$28,2022,40.71427,-74.00597
2235,Syte,Tel Aviv,Israel,Asia,13,2022-07-05 00:00:00 UTC,8,163,150,Retail,Series C,$71,2022,32.08088,34.78057
2236,Lightricks,Jerusalem,Israel,Asia,80,2022-07-04 00:00:00 UTC,12,667,587,Consumer,Series D,$335,2022,31.76904,35.21633
2238,Sendle,Sydney,Australia,Australia,27,2022-07-04 00:00:00 UTC,12,225,198,Logistics,Series C,$69,2022,-33.86785,151.20732
2239,Lendis,Berlin,Germany,Europe,18,2022-07-04 00:00:00 UTC,15,120,102,Other,Series A,$90,2022,52.52437,13.41053
2242,Celsius,New York City,USA,North America,150,2022-07-03 00:00:00 UTC,25,600,450,Crypto,Series B,$864,2022,40.71427,-74.00597
2246,WanderJaunt,San Francisco Bay Area,USA,North America,85,2022-07-01 00:00:00 UTC,100,85,0,Travel,Series B,$26,2022,37.77493,-122.41942
2247,Canoo,Los Angeles,USA,North America,58,2022-07-01 00:00:00 UTC,6,967,909,Transportation,Post-IPO,$300,2022,34.05223,-118.24368
2249,Teleport,San Francisco Bay Area,USA,North America,15,2022-07-01 00:00:00 UTC,6,250,235,Infrastructure,Series C,$169,2022,37.80437,-122.2708
2251,Enjoy,San Francisco Bay Area,USA,North America,400,2022-06-30 00:00:00 UTC,18,2222,1822,Retail,Post-IPO,$310,2022,37.44188,-122.14302
2252,Crejo.Fun,Bengaluru,India,Asia,170,2022-06-30 00:00:00 UTC,100,170,0,Education,Seed,$3,2022,12.97194,77.59369
2253,Stash Financial,New York City,USA,North America,40,2022-06-30 00:00:00 UTC,8,500,460,Finance,Unknown,$480,2022,40.71427,-74.00597
2254,Nate,New York City,USA,North America,30,2022-06-30 00:00:00 UTC,20,150,120,Retail,Series A,$47,2022,40.71427,-74.00597
2256,Stream,Boulder,USA,North America,20,2022-06-30 00:00:00 UTC,12,167,147,Product,Series B,$58,2022,40.01499,-105.27055
2257,Finleap Connect,Hamburg,Germany,Europe,14,2022-06-30 00:00:00 UTC,10,140,126,Finance,Series A,$22,2022,53.55073,9.99302
2258,Abra,San Francisco Bay Area,USA,North America,12,2022-06-30 00:00:00 UTC,5,240,228,Crypto,Series C,$106,2022,37.70215,-121.93579
2263,Unity,San Francisco Bay Area,USA,North America,200,2022-06-29 00:00:00 UTC,4,5000,4800,Other,Post-IPO,$1300,2022,37.77493,-122.41942
2264,Niantic,San Francisco Bay Area,USA,North America,85,2022-06-29 00:00:00 UTC,8,1063,978,Consumer,Series D,$770,2022,37.77493,-122.41942
2266,Qumulo,Seattle,USA,North America,80,2022-06-29 00:00:00 UTC,19,421,341,Data,Series E,$347,2022,47.60621,-122.33207
2267,Clutch,Toronto,Canada,North America,76,2022-06-29 00:00:00 UTC,22,345,269,Transportation,Series B,$153,2022,43.70643,-79.39864
2269,Oye Rickshaw,New Delhi,India,Asia,40,2022-06-29 00:00:00 UTC,20,200,160,Transportation,Unknown,$13,2022,28.65195,77.23149
2270,Rows,Berlin,Germany,Europe,18,2022-06-29 00:00:00 UTC,30,60,42,Other,Series B,$25,2022,52.52437,13.41053
2271,Baton,San Francisco Bay Area,USA,North America,16,2022-06-29 00:00:00 UTC,25,64,48,Transportation,Series A,$13,2022,37.77493,-122.41942
2272,Substack,San Francisco Bay Area,USA,North America,13,2022-06-29 00:00:00 UTC,14,93,80,Media,Series B,$82,2022,37.77493,-122.41942
2278,Huobi,Bejing,China,Asia,300,2022-06-28 00:00:00 UTC,30,1000,700,Crypto,Unknown,$2,2022,39.9075,116.39723
2280,StockX,Detroit,USA,North America,120,2022-06-28 00:00:00 UTC,8,1500,1380,Retail,Series E,$690,2022,42.33143,-83.04575
2281,Sidecar Health,Los Angeles,USA,North America,110,2022-06-28 00:00:00 UTC,40,275,165,Healthcare,Series C,$163,2022,34.05223,-118.24368
2283,Vezeeta,Dubai,United Arabian Emirates,Asia,50,2022-06-28 00:00:00 UTC,10,500,450,Healthcare,Series D,$71,2022,25.07725,55.30927
2284,Bright Machines,San Francisco Bay Area,USA,North America,30,2022-06-28 00:00:00 UTC,8,375,345,Data,Unknown,$250,2022,37.77493,-122.41942
2285,HealthMatch,Sydney,Australia,Australia,18,2022-06-28 00:00:00 UTC,50,36,18,Healthcare,Series B,$20,2022,-33.86785,151.20732
2289,AppLovin,San Francisco Bay Area,USA,North America,300,2022-06-27 00:00:00 UTC,12,2500,2200,Marketing,Post-IPO,$1600,2022,37.44188,-122.14302
2290,UiPath,New York City,USA,North America,210,2022-06-27 00:00:00 UTC,5,4200,3990,Data,Post-IPO,$2000,2022,40.71427,-74.00597
2291,Udaan,Bengaluru,India,Asia,180,2022-06-27 00:00:00 UTC,4,4500,4320,Retail,Unknown,1500,2022,12.97194,77.59369
2293,Banxa,Melbourne,Australia,Australia,70,2022-06-27 00:00:00 UTC,30,233,163,Crypto,Post-IPO,$13,2022,-37.814,144.96332
2294,SafeGraph,San Francisco Bay Area,USA,North America,27,2022-06-27 00:00:00 UTC,25,108,81,Data,Series B,$61,2022,37.77493,-122.41942
2297,Bitpanda,Vienna,Austria,Europe,270,2022-06-24 00:00:00 UTC,27,1000,730,Crypto,Series C,$546,2022,48.20849,16.37208
2298,Sunday,Atlanta,USA,North America,90,2022-06-24 00:00:00 UTC,23,391,301,Finance,Series A,$124,2022,33.749,-84.38798
2299,Bestow,Dallas,USA,North America,41,2022-06-24 00:00:00 UTC,14,293,252,Finance,Series C,$137,2022,32.78306,-96.80667
2300,Ethos Life,San Francisco Bay Area,USA,North America,40,2022-06-24 00:00:00 UTC,12,333,293,Finance,Series D,$406,2022,37.77493,-122.41942
2303,Netflix,San Francisco Bay Area,USA,North America,300,2022-06-23 00:00:00 UTC,3,10000,9700,Media,Post-IPO,$121900,2022,37.22661,-121.97468
